key,dG_kcal_mol,status,protein,cys_residue,distance_A,note,catalytic_residue
A17_9_2-hydroxypropionaldehyde,-5.91,OK,A17,Cys288,13.102,aldehyde detected,
A17_9_2-hydroxypropionaldehyde,-5.91,OK,A17,Cys288,12.428,aldehyde detected,
A19_10_4-guanidinobutyraldehyde,-5.21,OK,A19,Cys612,58.158,aldehyde detected,
A19_11_prop-2-enal,-5.92,OK,A19,Cys612,53.498,aldehyde detected,
A19_12_prop-2-ynal,-5.84,OK,A19,Cys612,31.568,aldehyde detected,
A19_13_(2E)-but-2-enal,-5.98,OK,A19,Cys612,23.338,aldehyde detected,
A19_14_trans-2-Hexenal,-6.55,OK,A19,Cys612,59.002,aldehyde detected,
A19_15_heptanal,-6.63,OK,A19,Cys612,57.855,aldehyde detected,
A19_16_octanaldehyde,-6.54,OK,A19,Cys612,32.79,aldehyde detected,
A19_17_nonanal,-7.09,OK,A19,Cys612,57.23,aldehyde detected,
A19_19_dodecanal,-7.19,OK,A19,Cys612,57.25,aldehyde detected,
A19_1_formaldehyde,-5.32,OK,A19,Cys612,39.56,aldehyde detected,
A19_20_Citral,,OK,A19,Cys612,57.775,aldehyde detected,
A19_22_trans-2-Octenal,-6.51,OK,A19,Cys612,22.39,aldehyde detected,
A19_23_4-Hydroxynonenal,-6.41,OK,A19,Cys612,37.265,aldehyde detected,
A19_23_4-Hydroxynonenal,-6.41,OK,A19,Cys612,39.9,aldehyde detected,
A19_24_Tetradecanal,,OK,A19,Cys612,21.66,aldehyde detected,
A19_25_hexadecanal,-8.27,OK,A19,Cys612,57.955,aldehyde detected,
A19_26_trans-2-hexadecenal,-7.23,OK,A19,Cys612,60.359,aldehyde detected,
A19_27_Benzaldehyde,-6.02,OK,A19,Cys612,29.085,aldehyde detected,
A19_28_Phenylacetaldehyde,-6.46,OK,A19,Cys612,32.653,aldehyde detected,
A19_29_Salicylaldehyde,-7.25,OK,A19,Cys612,6.062,aldehyde detected,
A19_29_Salicylaldehyde,-7.25,OK,A19,Cys612,5.489,aldehyde detected,
A19_2_acetaldehyde,-5.39,OK,A19,Cys612,72.479,aldehyde detected,
"A19_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-5.89,OK,A19,Cys612,39.23,aldehyde detected,
"A19_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-5.89,OK,A19,Cys612,37.94,aldehyde detected,
